id,created_at,subject,concept,total_questions,correct_count,wrong_count,details
323,2026-06-27 04:59:14.279093,PM,4-b. 통합/범위/자원/일정/위험/품질/성과/조달/변화 관리 등,1,1,0,"{""q_id"": ""2026_25"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
324,2026-06-27 04:59:53.33704,PM,4-b. 통합/범위/자원/일정/위험/품질/성과/조달/변화 관리 등,1,1,0,"{""q_id"": ""2020_19"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
325,2026-06-27 05:56:20.51053,SE,1-g. 사용자 인터페이스 설계,1,0,1,"{""q_id"": ""2019_39"", ""user_choice"": [4], ""correct_answer"": [1], ""is_correct"": false}"
326,2026-06-27 06:08:21.273919,SE,"1-e. 아키텍처 스타일(계층구조, 클라이언트 서버, 트랜잭션 처리, mvc, 이벤트 중심 등)",1,1,0,"{""q_id"": ""2020_27"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
327,2026-06-27 06:09:49.69512,SE,1-g. 사용자 인터페이스 설계,1,1,0,"{""q_id"": ""2019_39"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
328,2026-06-27 06:10:53.108161,SE,"4-f. 분산커포넌트 기술, xml 등",1,1,0,"{""q_id"": ""2016_48"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
329,2026-06-27 06:11:29.255061,SE,3-a. 유지관리 개념 및 방법,1,1,0,"{""q_id"": ""2023_48"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
330,2026-06-27 06:11:48.082768,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2024_28"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
331,2026-06-27 06:12:08.559734,SE,1-d. UML/SysML 모델링,1,1,0,"{""q_id"": ""2017_30"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
332,2026-06-27 06:12:25.023298,SE,1-b. 객체지향 개념,1,1,0,"{""q_id"": ""2024_31"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
333,2026-06-27 06:13:24.838622,SE,1-d. UML/SysML 모델링,1,1,0,"{""q_id"": ""2018_45"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
334,2026-06-27 06:14:17.352518,SE,3-b. 형상관리,1,0,1,"{""q_id"": ""2026_37"", ""user_choice"": [1], ""correct_answer"": [2], ""is_correct"": false}"
335,2026-06-27 06:14:52.225816,SE,"3-d. 재사용, 재공학, 역공학, Refactoring",1,0,1,"{""q_id"": ""2017_40"", ""user_choice"": [2], ""correct_answer"": [1], ""is_correct"": false}"
336,2026-06-27 06:15:19.056447,SE,"1-e. 아키텍처 스타일(계층구조, 클라이언트 서버, 트랜잭션 처리, mvc, 이벤트 중심 등)",1,1,0,"{""q_id"": ""2017_33"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
337,2026-06-27 06:15:33.910128,SE,"2-a. 프로그래밍언어 및 환경(코딩원리, 코딩오류, 코딩 스타일, uml과 코딩)",1,1,0,"{""q_id"": ""2016_46"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
338,2026-06-27 06:16:40.846021,SE,5-a. SW Product 품질,1,1,0,"{""q_id"": ""2022_46"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
339,2026-06-27 06:17:01.67664,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2017_32"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
340,2026-06-27 06:17:18.992469,SE,"1-e. 아키텍처 스타일(계층구조, 클라이언트 서버, 트랜잭션 처리, mvc, 이벤트 중심 등)",1,1,0,"{""q_id"": ""2023_35"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
341,2026-06-27 06:18:28.320742,SE,2-e. 테스팅 방법 및 도구,1,1,0,"{""q_id"": ""2020_33"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
342,2026-06-27 06:18:53.307662,SE,[기타],1,1,0,"{""q_id"": ""2020_46"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
343,2026-06-27 06:19:29.456031,SE,2-e. 테스팅 방법 및 도구,1,1,0,"{""q_id"": ""2017_38"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
344,2026-06-27 06:19:41.904872,SE,"5-b. SW Process 품질(CMMi, SPICE, SP인증 등)",1,1,0,"{""q_id"": ""2026_29"", ""user_choice"": [1], ""correct_answer"": [1], ""is_correct"": true}"
345,2026-06-27 06:20:28.226942,SE,"1-a. 요구사항 도출, 요구사항 분석, 요구사항 명세, 요구사항 추적",1,1,0,"{""q_id"": ""2017_31"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
346,2026-06-27 06:30:58.013367,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,0,1,"{""q_id"": ""2026_67"", ""user_choice"": [3], ""correct_answer"": [2], ""is_correct"": false}"
347,2026-06-27 06:31:03.524144,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2026_67"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
348,2026-06-27 06:31:10.924782,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2018_74"", ""user_choice"": [3], ""correct_answer"": [3], ""is_correct"": true}"
349,2026-06-27 06:31:17.363725,DB,1-a. 데이터베이스 시스템 개념 및 이론,1,1,0,"{""q_id"": ""2016_64"", ""user_choice"": [2], ""correct_answer"": [2], ""is_correct"": true}"
350,2026-06-27 06:31:23.433619,DB,"1-b. 데이터 모델의 개념, 관계형/객체지향 DB",1,1,0,"{""q_id"": ""2026_52"", ""user_choice"": [4], ""correct_answer"": [4], ""is_correct"": true}"
